id,name,wk1_points,wk2_points,wk3_points,wk4_points,wk5_points,wk6_points,wk7_points,wk8_points,wk9_points,wk10_points,wk11_points,wk12_points,wk13_points,wk14_points,wk15_points,wk16_points,wk17_points
00-0019596,T.Brady,10.68,30.779999999999998,35.72,20.48,12.62,16.18,18.46,17.52,,22.64,25.560000000000002,20.68,8.32,9.32,15.72,15.56,15.6
00-0020531,D.Brees,15.64,22.240000000000002,20.8,19.02,,11.540000000000001,19.14,11.760000000000002,18.72,13.96,21.599999999999998,14.34,14.459999999999999,17.04,17.299999999999997,11.16,14.0
00-0021206,J.McCown,9.48,15.74,14.66,4.960000000000001,13.459999999999999,20.26,24.46,18.28,16.9,12.48,,25.080000000000002,31.14,-1.46,,,
00-0022803,E.Manning,6.74,11.56,22.64,27.72,13.0,9.120000000000001,7.359999999999999,,12.8,16.92,8.7,2.4199999999999995,,9.12,27.36,5.02,6.88
00-0022924,B.Roethlisberger,15.719999999999999,17.52,12.0,10.540000000000001,2.5800000000000005,11.88,16.66,14.48,,17.939999999999998,28.96,30.54,18.0,28.74,18.28,16.939999999999998,
00-0022942,P.Rivers,17.68,17.240000000000002,3.4800000000000004,19.880000000000003,20.82,14.32,15.32,10.48,,15.3,18.04,28.86,17.56,20.759999999999998,7.08,15.6,27.98
00-0023436,A.Smith,31.02,16.14,15.1,27.32,26.86,15.14,25.68,13.379999999999999,18.419999999999998,,7.8999999999999995,13.46,37.64,11.120000000000001,18.540000000000003,17.46,
00-0023459,A.Rodgers,16.54,18.52,24.82,23.06,24.04,0.72,,,,,,,,,21.900000000000002,,
00-0026143,M.Ryan,17.94,14.88,13.66,8.48,,11.92,17.02,15.86,18.419999999999998,14.6,17.0,16.78,7.02,6.84,15.38,14.219999999999999,18.08
00-0026158,J.Flacco,6.84,14.58,-2.88,9.4,8.48,5.4,11.440000000000001,8.94,15.139999999999999,,9.22,9.84,18.659999999999997,16.759999999999998,21.82,17.28,14.12
00-0026498,M.Stafford,27.08,13.18,16.46,10.059999999999999,15.16,14.88,,18.020000000000003,22.439999999999998,21.66,18.26,14.0,11.879999999999999,15.24,17.38,10.819999999999999,25.12
00-0026625,B.Hoyer,3.2199999999999998,1.96,26.18,7.659999999999999,22.119999999999997,1.36,,,,1.48,,,-0.2,,,-0.1,0.2
00-0027854,S.Bradford,25.54,,,,1.44,,,,,,,,,,,,
00-0027939,C.Newton,13.14,11.82,8.28,33.04,26.2,20.66,7.4399999999999995,12.56,20.08,35.66,,17.52,20.42,14.48,31.48,15.6,11.100000000000001
00-0027973,A.Dalton,-3.0,9.46,16.28,28.339999999999996,13.319999999999999,,10.4,18.72,5.340000000000001,14.600000000000001,18.56,19.160000000000004,19.259999999999998,7.64,0.5199999999999996,11.42,20.680000000000003
00-0028118,T.Taylor,18.76,10.5,17.82,12.48,8.940000000000001,,20.02,16.7,26.9,2.9400000000000004,18.12,14.02,3.8000000000000003,,23.16,12.84,15.66
00-0029263,R.Wilson,8.32,15.32,33.52,27.6,11.52,,26.36,35.08,23.580000000000002,19.419999999999998,30.92,23.619999999999997,24.18,21.84,11.58,14.620000000000001,20.44
00-0029604,K.Cousins,10.6,11.86,26.8,20.6,,27.799999999999997,23.919999999999998,10.52,8.280000000000001,27.58,25.980000000000004,16.08,12.639999999999999,8.84,15.84,22.76,7.5200000000000005
00-0030520,M.Glennon,12.52,10.04,6.44,4.640000000000001,,,,,,,,,,,,,
00-0031064,T.Savage,-1.52,,,,,,,,10.76,4.84,13.5,4.08,16.5,2.52,,,
00-0031280,D.Carr,18.68,21.2,5.22,9.719999999999999,,6.84,30.18,12.52,13.7,,13.48,15.819999999999997,15.38,10.44,17.54,5.8999999999999995,9.82
00-0031407,B.Bortles,10.3,9.82,27.56,11.399999999999999,2.6999999999999997,13.540000000000001,16.3,,16.36,16.32,8.56,22.6,25.06,18.619999999999997,25.04,22.380000000000003,3.22
00-0032156,T.Siemian,22.66,22.64,7.56,11.26,,15.94,5.68,7.92,,,,14.860000000000001,2.86,13.3,0.6800000000000002,,
00-0032245,S.Mannion,-0.21999999999999997,,,,,,-0.1,,-0.1,,,,,,0.45999999999999996,,5.16
00-0032268,M.Mariota,18.84,13.0,19.7,15.74,,14.24,8.92,,15.32,17.66,14.74,7.760000000000001,18.3,3.4600000000000004,18.04,11.4,13.36
00-0032950,C.Wentz,18.880000000000003,24.82,13.239999999999998,15.08,27.26,21.380000000000003,31.02,17.139999999999997,24.76,,20.02,23.979999999999997,16.92,27.240000000000002,,,
00-0033077,D.Prescott,17.12,15.92,22.92,22.58,29.74,,29.96,7.32,26.66,13.239999999999998,-1.2000000000000002,3.16,14.879999999999999,26.580000000000002,13.68,5.380000000000001,12.76
00-0033106,J.Goff,16.44,11.06,23.58,18.099999999999998,7.72,9.860000000000001,18.7,,28.439999999999998,26.5,9.8,19.86,15.0,14.52,10.8,25.439999999999998,
00-0033119,J.Brissett,2.04,8.84,27.759999999999998,9.580000000000002,17.96,13.98,11.1,15.92,19.52,15.58,,7.4399999999999995,10.56,7.76,14.120000000000001,13.4,10.36
00-0033537,D.Watson,5.68,17.7,20.14,33.72,35.54,23.3,,32.78,,,,,,,,,
00-0033899,D.Kizer,18.580000000000002,1.8800000000000003,22.08,3.7199999999999998,2.38,,0.5599999999999996,14.96,,22.979999999999997,5.36,20.62,13.2,17.26,3.34,4.08,24.660000000000004
