,name,avg_pts,cv
16,R.Wilson,20.46588235294118,2.2541455974541056
13,C.Newton,17.616470588235295,1.8822212493850383
0,T.Brady,17.402352941176474,2.1071498726608455
6,A.Smith,17.363529411764706,1.7717143901631018
25,C.Wentz,16.57294117647059,1.6199125044622644
17,K.Cousins,16.33058823529412,1.9909701221677978
10,M.Stafford,15.978823529411764,2.603565029616408
5,P.Rivers,15.905882352941179,2.1771571410263877
1,D.Brees,15.454117647058823,3.0099843456185806
4,B.Roethlisberger,15.339999999999998,1.7487308557709755
26,D.Prescott,15.335294117647058,1.569119123779114
27,J.Goff,15.048235294117648,1.8422400179660503
21,B.Bortles,14.692941176470587,1.8188890049843087
8,M.Ryan,13.417647058823531,2.73472955042271
15,T.Taylor,13.097647058823531,1.7104138415591161
14,A.Dalton,12.394117647058822,1.5187314649032218
24,M.Mariota,12.381176470588237,2.016383905492548
20,D.Carr,12.143529411764703,1.6403549142094065
28,J.Brissett,12.112941176470589,1.912163842618986
2,J.McCown,12.084705882352939,1.2226711571132243
3,E.Manning,11.021176470588234,1.3473993829758482
9,J.Flacco,10.884705882352941,1.7363995695429604
30,D.Kizer,10.33294117647059,1.157442827113513
29,D.Watson,9.932941176470589,0.7365829055319872
7,A.Rodgers,7.623529411764705,0.7338945914355118
22,T.Siemian,7.374117647058824,0.9423473919239034
11,B.Hoyer,3.757647058823529,0.4871046988575404
19,T.Savage,2.981176470588235,0.5682301983173317
18,M.Glennon,1.9788235294117646,0.511947338324267
12,S.Bradford,1.5870588235294119,0.2646078928474939
23,S.Mannion,0.3058823529411765,0.2506627593508657
