,name,avg_pts,cv
87,T.Gurley,18.782352941176473,1.5582400379123014
59,L.Bell,15.094117647058825,1.6543638962463885
56,K.Hunt,14.24705882352941,1.3615812061609622
2,A.Kamara,13.735294117647058,1.6405386166260758
72,M.Gordon,13.53529411764706,1.7176817809511546
73,M.Ingram,12.941176470588234,1.4959846979499818
62,L.McCoy,12.047058823529412,1.5218830461701285
61,L.Fournette,11.423529411764704,1.3350929685834148
40,E.Elliott,10.423529411764706,0.9069869632202237
55,Jo.Howard,10.382352941176471,1.2440873407467588
10,C.Hyde,10.294117647058824,1.6906105790562287
21,D.Lewis,9.705882352941178,1.3083285978424721
18,D.Freeman,9.658823529411764,1.238381846854022
63,L.Miller,9.270588235294117,1.6045119926204083
8,C.Anderson,8.741176470588234,1.2281520218852109
12,C.McCaffrey,8.729411764705885,1.7225029248519972
41,F.Gore,8.505882352941176,2.225690297013344
74,M.Lynch,8.488235294117647,1.427549027713546
64,L.Murray,8.376470588235295,1.1039502713727944
84,T.Coleman,8.288235294117646,1.4724419439582184
49,J.McKinnon,7.476470588235294,1.080798724595033
19,D.Henry,7.294117647058823,1.144839334383676
7,B.Powell,7.188235294117646,1.0850624414403272
45,J.Allen,7.064705882352943,1.4085091523782245
54,J.Williams,6.929411764705883,0.846430379616688
44,I.Crowell,6.7941176470588225,1.5027932441779965
14,C.Thompson,6.611764705882353,0.8382496869057962
50,J.Mixon,6.5470588235294125,1.2103905307082092
52,J.Stewart,6.423529411764705,0.9174980528085264
43,G.Bernard,6.394117647058823,1.0394620377494552
89,T.Riddick,5.9411764705882355,1.2078903079186585
77,R.Burkhead,5.870588235294117,0.8764913420502949
60,L.Blount,5.858823529411763,1.2965650874987846
0,A.Abdullah,5.8470588235294105,1.2890667094657873
83,T.Cohen,5.357647058823529,1.1638444381532367
20,D.Johnson,5.258823529411764,0.9368804758964248
65,M.Breida,4.852941176470588,1.1218085442603638
75,M.Mack,4.841176470588236,1.0744894473547024
1,A.Ekeler,4.7,0.7935120044083609
53,J.White,4.588235294117646,1.321992123862089
88,T.Montgomery,4.035294117647059,0.619707276159801
4,A.Peterson,3.994117647058823,0.6042197567301162
71,M.Gillislee,3.988235294117647,0.6736042556097455
3,A.Morris,3.835294117647058,0.781117894219679
11,C.Ivory,3.7411764705882353,0.9110308129036256
51,J.Richard,3.476470588235294,0.8475333189522911
58,K.Williams,3.405882352941177,1.0105373794732304
16,D.Cook,3.1999999999999997,0.4955297104202901
30,D.Washington,3.0588235294117645,0.8490545637296468
38,D.Washington,3.0588235294117645,0.8490545637296468
17,D.Foreman,3.0,0.6042518307080992
29,D.Washington,2.98235294117647,0.8169708103253036
37,D.Washington,2.98235294117647,0.8169708103253036
26,D.Washington,2.9058823529411764,0.7992669531469052
34,D.Washington,2.9058823529411764,0.7992669531469052
25,D.Washington,2.829411764705882,0.768871086667796
33,D.Washington,2.829411764705882,0.768871086667796
15,C.West,2.7176470588235295,0.7292620067367981
36,D.Washington,2.3999999999999995,0.9014511123093794
28,D.Washington,2.3999999999999995,0.9014511123093794
80,S.Vereen,2.341176470588235,1.3039582018305844
27,D.Washington,2.3235294117647056,0.8579377904629959
35,D.Washington,2.3235294117647056,0.8579377904629959
78,R.Kelley,2.3058823529411763,0.6030526587243655
66,M.Brown,2.270588235294117,0.8868526379006555
68,M.Brown,2.2470588235294118,0.8752815858869654
24,D.Washington,2.2470588235294113,0.8417650692970041
32,D.Washington,2.2470588235294113,0.8417650692970041
67,M.Brown,2.241176470588235,0.8675912315042996
69,M.Brown,2.217647058823529,0.8562831719740598
5,B.Cunningham,2.170588235294118,0.6688932868072912
31,D.Washington,2.1705882352941175,0.800680651168498
23,D.Washington,2.1705882352941175,0.800680651168498
57,K.Juszczyk,2.152941176470588,0.8314532127308909
90,W.Smallwood,1.9823529411764704,0.546545256236234
9,C.Carson,1.9235294117647062,0.5228233682270184
81,T.Austin,1.8000000000000003,0.7146061637149226
82,T.Bohanon,1.3411764705882352,0.43651416031902296
79,R.Turbin,0.9941176470588234,0.5441035529449341
46,J.Conner,0.8470588235294116,1.1426412446512195
48,J.Hill,0.776470588235294,0.7433111162394346
42,F.Whittaker,0.7352941176470589,0.3339430018945321
22,D.Sproles,0.6705882352941177,0.4013636670366981
13,C.Prosise,0.6470588235294119,0.36378796318902074
6,B.Oliver,0.6411764705882353,0.5943961374112239
85,T.Edmunds,0.6352941176470589,0.2500000000000001
39,Da.Johnson,0.41764705882352937,0.25000000000000006
86,T.Ervin,0.29411764705882354,0.41620447388251675
70,M.Dayes,0.24117647058823527,0.48514765194660353
76,P.DiMarco,0.15294117647058825,0.26981060036425736
47,J.Davis,0.0058823529411764705,0.25000000000000017
