id,name,wk1_points,wk2_points,wk3_points,wk4_points,wk5_points,wk6_points,wk7_points,wk8_points,wk9_points,wk10_points,wk11_points,wk12_points,wk13_points,wk14_points,wk15_points,wk16_points,wk17_points
00-0024389,D.Walker,7.6,12.2,3.1,5.1,2.5,1.4,4.3,,7.1,6.3,9.2,12.3,12.3,4.2,7.699999999999999,3.3,1.9
00-0025418,G.Olsen,1.8,1.0,,,,,,,,,,1.0,,,17.6,2.7,1.0
00-0027061,J.Cook,5.6,2.5,10.3,4.6,0.5,1.4,10.7,5.7,12.6,,3.6,0.1,0.9,13.5,1.7,1.5,3.5
00-0027125,Z.Miller,3.9,4.2,1.7,4.5,9.9,8.5,2.9,,,,,,,,,,
00-0027656,R.Gronkowski,3.3,17.6,14.9,8.0,,20.3,5.1,11.7,,7.4,3.6,20.2,14.7,,18.8,12.7,
00-0027696,J.Graham,0.8,0.1,7.2,6.1,9.7,,11.1,15.9,5.9,14.7,13.8,9.4,8.6,,-0.1,6.3,4.5
00-0027873,J.Gresham,1.5,,4.7,1.2,1.6,3.2,1.8,,8.3,12.4,1.0,1.3,1.7,2.7,,0.4,2.4
00-0027981,K.Rudolph,8.6,4.5,0.4,3.4,10.5,4.7,4.3,8.7,,3.7,5.8,18.3,9.6,10.1,7.7,0.6,0.3
00-0027985,L.Kendricks,1.8,,11.2,0.0,2.4,,,,3.2,0.9,0.5,,1.1,1.1,0.5,3.6,
00-0028112,C.Clay,11.3,2.3,9.9,11.2,3.1,,,,,1.3,2.7,6.0,2.0,1.1,6.8,3.7,6.4
00-0028142,V.Green,4.4,7.1,1.8,,,2.4,0.7,1.6,,,1.3,1.6,3.6,,,,0.6
00-0029119,D.Carrier,1.2,0.9,1.7,,,,,,0.5,,,,1.4,0.0,0.4,,1.0
00-0029587,R.Ellison,0.9,2.1,,7.1,0.9,,,,2.1,,0.7,0.9,0.5,8.0,,6.0,6.3
00-0030061,Z.Ertz,9.3,9.7,9.5,8.1,12.1,13.8,14.9,9.4,,,0.8,16.3,2.4,,11.6,8.1,2.4
00-0030155,D.Harris,7.5,,,,2.1,,1.6,,,,,3.3,,2.5,0.7,3.4,7.3
00-0030181,J.Doyle,4.1,7.9,-0.3999999999999999,2.7,,9.0,4.4,18.1,6.3,0.9,,9.4,1.6,6.4,4.7,4.1,9.8
00-0030422,D.Sims,3.1,,,0.8,1.7,10.2,,1.5,,,,-0.3,0.5,3.2,0.9,2.4,
00-0030472,J.Reed,3.6,4.8,,2.1,,3.7,18.4,0.5,,,,,,,,,
00-0030506,T.Kelce,4.4,16.3,0.1,17.400000000000002,9.8,3.7,9.3,19.3,13.3,,8.9,3.9,21.4,7.4,4.6,10.7,
00-0030549,T.Eifert,0.4,4.2,,,,,,,,,,,,,,,
00-0030710,T.Burton,0.0,1.0,0.7,,7.6,0.9,0.7,2.1,10.1,,,,4.2,19.1,7.5,,0.9
00-0031387,E.Ebron,0.9,10.2,0.9,2.7,0.6,0.9,,5.8,3.5,9.9,4.9,3.4,3.8,7.4,9.3,14.3,0.9
00-0031558,M.Williams,0.5,2.3000000000000003,,,,-1.4,,,2.9,,0.6,1.2,0.1,,0.4,6.6,
00-0031598,N.Boyle,1.4,0.9,1.4,3.6,0.9,3.5,1.2,2.9,,,0.2,0.9,1.1,0.1,0.9,0.9,2.4
00-0031609,A.Derby,3.4,,0.5,13.5,,1.0,4.6,8.1,1.1,0.2,,,,,,1.1,0.9
00-0031690,E.Tomlinson,2.5,,,,3.4,,2.6,8.0,0.6,,,,,,,,1.0
00-0031951,J.O'Shaughnessy,1.8,,1.2,,,1.1,,,0.6,,1.2,0.7,2.9,,1.5,9.9,
00-0032004,W.Tye,3.4,0.4,,,,,,,,,,,,,,,
00-0032117,N.O'Leary,2.2,,3.1,,5.4,,5.8,0.5,3.0999999999999996,6.7,0.8,1.8,,0.9,3.3,,8.6
00-0032135,J.James,16.1,2.7,1.9,4.0,2.4,,,4.2,,,8.1,3.2,1.3,9.7,0.7,,0.9
00-0032214,T.Kroft,0.5,,2.8,18.8,3.8,,8.3,4.6,7.9,0.4,7.2,7.4,3.0,,0.1,0.3,17.3
00-0032227,J.Heuerman,2.0,1.5,,,,8.4,,1.1,,0.4,,,,0.5,11.4,,0.9
00-0032392,A.Hooper,18.8,0.7,0.9,5.0,,4.8,0.6,10.7,3.6,10.9,-0.1,3.8,2.1,2.3,1.2,1.8,3.5
00-0032394,N.Vannett,1.0,,,,0.3,,1.2,0.8,,2.2,,8.9,4.0,,,,
00-0032430,D.Morgan,0.0,,,,,,,2.8,,6.1,0.5,,,,,2.6,3.5
00-0032725,S.Anderson,1.4,,1.4,2.8,6.3,1.7,,1.1,4.4,3.0,2.2,,13.9,1.6,,,0.4
00-0033080,S.DeValve,4.2,6.1,2.9,0.2,2.4,6.9,2.7,0.0,,5.0,0.5,3.3,3.3,1.6,3.2,1.2,
00-0033110,T.Higbee,1.7,,0.4,4.7,9.8,0.0,1.3,,6.8,2.2,0.5,4.8,0.6,,1.2,1.5,
00-0033288,G.Kittle,2.7,1.3,0.8,3.5,14.3,4.6,1.6,2.2,2.7,,,1.4,2.0,1.0,5.2,10.2,10.0
00-0033881,E.Engram,4.4,10.9,4.5,6.2,,14.2,12.0,,13.0,9.1,0.9,1.8,15.9,5.4,10.1,1.2,
00-0033885,D.Njoku,2.0,8.7,7.2,1.1,10.9,0.0,5.8,1.9,,0.3,1.3,4.7,13.4,0.3,,1.3,3.8
00-0033895,G.Everett,3.9,9.5,,0.8,0.8,6.4,,,5.7,,0.8,0.9,6.7,0.6,,,-0.3999999999999999
