id,name,wk1_points,wk2_points,wk3_points,wk4_points,wk5_points,wk6_points,wk7_points,wk8_points,wk9_points,wk10_points,wk11_points,wk12_points,wk13_points,wk14_points,wk15_points,wk16_points,wk17_points
00-0022921,L.Fitzgerald,7.4,2.1,20.9,9.2,5.1,17.8,2.9,,7.0,11.3,15.1,3.2,15.8,4.4,6.0,18.74,5.5
00-0024334,B.Marshall,1.0,1.7,6.6,4.6,1.5,,,,,,,,,,,,
00-0025396,T.Ginn,5.8,2.4,11.9,3.4,,12.9,14.1,6.8,11.9,0.3,7.499999999999999,7.1,3.3000000000000003,0.7,,15.0,3.5
00-0026035,D.Amendola,10.0,,4.8,10.2,7.7,4.0,1.7,1.4,,3.6,12.6,1.5,3.4,7.6,2.3,2.8,4.3
00-0026176,J.Nelson,13.9,,17.2,19.5,8.4,6.0,1.3,,3.5,2.0,2.4,1.1,1.7,3.3,2.8,1.1,
00-0026345,P.Garcon,8.1,2.6,14.2,3.6,9.4,5.5,4.9,1.7,,,,,,,,,
00-0026901,M.Wallace,0.8,0.7,1.0,11.5,13.3,3.0,0.9,,7.9,,11.6,4.8,11.6,7.2,8.9,6.0,10.0
00-0026986,M.Crabtree,8.3,26.0,0.7,,14.2,11.2,8.4,8.3,4.0,,7.1,,,8.0,15.9,,1.7
00-0027006,K.Britt,1.3,0.2,11.4,5.2,,,0.7,,,9.8,0.5,5.2,1.0,,0.7,1.6,
00-0027057,B.Tate,0.0,,0.0,,8.5,,0.0,2.4,,0.0,0.7,0.0,0.0,0.0,2.1,0.4,0.0
00-0027685,E.Sanders,2.6,18.2,7.5,2.7,,7.6,,,3.0,13.7,1.5,1.2,1.5,1.6,6.8,,
00-0027690,E.Decker,1.0,3.2,4.9,1.3,3.4,8.8,,,8.1,1.9,3.7,2.3,2.7,5.6,6.3,7.3,1.8
00-0027691,A.Roberts,0.0,0.0,1.2,0.0,,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0027793,A.Brown,18.2,6.2,17.0,3.4,15.7,21.5,12.5,7.0,,4.7,32.4,30.9,16.1,21.3,2.4,,
00-0027874,D. Thomas,6.7,7.1,9.8,1.1,,11.3,0.9,6.6,13.0,10.4,12.4,1.8,2.7,,,,
00-0027891,G.Tate,11.399999999999999,2.5,11.8,3.1,4.8,15.6,,6.6,11.3,15.7,3.2,2.0,6.9,14.5,3.3,1.4,16.4
00-0027942,A.Green,7.4,6.7,17.1,12.3,22.9,,4.1,8.7,0.6,17.5,11.0,6.6,19.7,4.4,3.0,8.1,1.7
00-0027944,Ju.Jones,6.6,10.8,9.1,3.0,,7.2,15.9,7.4,11.8,5.7,7.1,38.8,2.4,9.8,5.4,14.9,8.0
00-0027996,T.Smith,3.0,6.6,2.9,0.9,12.7,0.6,,,1.1,,8.8,3.0,2.9,10.0,1.7,0.5,
00-0028002,R.Cobb,8.5,7.0,,10.4,2.9,2.8,1.5,,5.8999999999999995,6.0,3.4,11.8,,3.9,14.4,1.6,13.3
00-0028114,D.Harris,0.0,0.0,0.0,,0.0,,,,,,,,,,,,
00-0028116,A.Robinson,0.7,,2.3,5.2,0.5,12.6,1.5,,1.8,1.2,,0.9,,2.7,0.3,1.2,7.2
00-0028237,C.Hogan,2.5,13.8,18.8,12.0,13.4,1.9,7.1,6.0,,,,,,0.1,,,
00-0028263,A.Holmes,6.1,1.8,6.6,1.0,,,1.1,11.1,1.6,,0.7,,,,,,
