,name,avg_pts,cv
34,D.Hopkins,12.576470588235294,1.6784954420070108
0,A.Brown,12.311764705882354,1.2125265750035563
4155,K.Allen,10.364705882352943,1.416458209513232
4212,T.Hill,9.658823529411768,1.2059786113290616
4153,Ju.Jones,9.641176470588235,1.1592877354476696
14,B.Cooks,9.188235294117646,1.3002714293821267
4172,M.Thomas,9.088235294117647,1.877210350034012
4173,M.Thomas,8.976470588235294,1.8489975730471724
4162,L.Fitzgerald,8.967058823529412,1.4322978200201089
3,A.Green,8.92941176470588,1.3347036920082798
11,A.Thielen,8.75294117647059,1.3478338279640973
29,D.Adams,8.735294117647058,1.3343680752270917
31,D.Baldwin,8.723529411764707,1.4597163761571958
4180,M.Thomas,8.623529411764707,1.663207284910729
4169,M.Jones,8.529411764705882,1.212119544521449
4181,M.Thomas,8.511764705882355,1.640849029453639
4176,M.Thomas,8.323529411764707,1.607458518440311
4177,M.Thomas,8.211764705882352,1.5870811001673688
6,A.Jeffery,8.170588235294119,1.4293467317203623
4174,M.Thomas,8.082352941176469,1.7114324960200469
4194,R.Anderson,8.058823529411766,1.1601374311134065
4175,M.Thomas,7.970588235294118,1.6913599998619222
4203,S.Diggs,7.894117647058825,1.0121987793428868
4150,J.Smith-Schuster,7.8647058823529425,1.0727670203685036
4184,M.Thomas,7.858823529411764,1.4458010840628848
32,D.Funchess,7.764705882352943,1.279852321318922
4185,M.Thomas,7.747058823529411,1.4287408989028114
48,G.Tate,7.676470588235296,1.3862113402545908
4182,M.Thomas,7.617647058823529,1.5292891151153427
4183,M.Thomas,7.5058823529411764,1.5129170309193565
4189,N.Agholor,7.38235294117647,1.292048325559496
4178,M.Thomas,7.317647058823529,1.4894348191840918
4179,M.Thomas,7.205882352941176,1.4748228875386766
4213,T.Hilton,6.976470588235294,0.8582889090206404
4186,M.Thomas,6.852941176470588,1.3456137197844957
25,C.Kupp,6.758823529411764,1.31385263654106
4187,M.Thomas,6.741176470588235,1.3331982139080831
4166,M.Crabtree,6.694117647058825,0.9544541753330676
4167,M.Goodwin,6.623529411764706,1.4474203415363012
195,J.Nelson,6.5588235294117645,1.048009168789486
227,J.Nelson,6.541176470588235,1.042983102692851
187,J.Nelson,6.541176470588234,1.0427024505592877
53,J.Kearse,6.529411764705883,1.186721292055674
219,J.Nelson,6.523529411764706,1.0377128600354162
197,J.Nelson,6.517647058823529,1.037523225870325
211,J.Nelson,6.5,1.0314632600442983
707,J.Nelson,6.5,1.0407545144183425
229,J.Nelson,6.5,1.032565087525645
189,J.Nelson,6.499999999999999,1.0322892996558812
1,A.Cooper,6.4941176470588236,0.7754889704794862
739,J.Nelson,6.482352941176471,1.0357563720401088
243,J.Nelson,6.482352941176471,1.0265478931258025
699,J.Nelson,6.48235294117647,1.0354765028915092
203,J.Nelson,6.48235294117647,1.0262754204548694
221,J.Nelson,6.48235294117647,1.0273666151155443
731,J.Nelson,6.46470588235294,1.0305143959374718
235,J.Nelson,6.46470588235294,1.0213948733612643
709,J.Nelson,6.458823529411765,1.030329805514605
213,J.Nelson,6.458823529411765,1.021198749722214
723,J.Nelson,6.4411764705882355,1.0242998360313529
741,J.Nelson,6.4411764705882355,1.0253986720782922
259,J.Nelson,6.4411764705882355,1.0170634468510313
245,J.Nelson,6.4411764705882355,1.016348213503903
701,J.Nelson,6.441176470588235,1.0251236315598407
205,J.Nelson,6.441176470588235,1.0160803897574053
67,J.Nelson,6.429411764705883,1.013709682180262
291,J.Nelson,6.423529411764706,1.0122381833327252
755,J.Nelson,6.423529411764706,1.0194110082020154
251,J.Nelson,6.423529411764705,1.011972139587068
715,J.Nelson,6.423529411764705,1.0191392701679387
237,J.Nelson,6.423529411764705,1.011263713857762
733,J.Nelson,6.423529411764705,1.0202275283485327
191,J.Nelson,6.411764705882353,1.011176973763617
99,J.Nelson,6.411764705882353,1.0089064113105126
194,J.Nelson,6.411764705882353,1.0152699648446537
59,J.Nelson,6.411764705882352,1.0086420180785243
747,J.Nelson,6.405882352941176,1.0142848474942467
283,J.Nelson,6.405882352941176,1.00718036417719
261,J.Nelson,6.3999999999999995,1.006980153075485
725,J.Nelson,6.3999999999999995,1.014093567089345
226,J.Nelson,6.394117647058824,1.0104421308376372
223,J.Nelson,6.394117647058824,1.0063848510868663
186,J.Nelson,6.394117647058823,1.010175061230537
183,J.Nelson,6.394117647058823,1.0061209848753578
91,J.Nelson,6.394117647058823,1.003871914478997
69,J.Nelson,6.388235294117647,1.0036702814952105
771,J.Nelson,6.382352941176471,1.0099820663231867
275,J.Nelson,6.382352941176471,1.0011721824586663
757,J.Nelson,6.382352941176471,1.0092687020462636
293,J.Nelson,6.382352941176471,1.002217210220902
717,J.Nelson,6.38235294117647,1.0090015798822785
253,J.Nelson,6.38235294117647,1.001955646518334
215,J.Nelson,6.376470588235294,1.001361861118347
218,J.Nelson,6.376470588235294,1.0053807369595675
