,Unnamed: 0,name,wk1_points,wk2_name,wk2_points,wk3_name,wk3_points,wk4_name,wk4_points,wk5_name,wk5_points,wk6_name,wk6_points,wk7_name,wk7_points,wk8_name,wk8_points,wk9_name,wk9_points,wk10_name,wk10_points,wk11_name,wk11_points,wk12_name,wk12_points,wk13_name,wk13_points,wk14_name,wk14_points,wk15_name,wk15_points,wk16_name,wk16_points,wk17_name,wk17_points
0,301,P.Dawson,0.0,A.Dalton,9.46,B.Hoyer,26.18,B.Hundley,0.0,J.Winston,18.46,C.Newton,20.66,D.Carr,30.18,R.Mallett,4.5,J.McCown,16.9,D.Stanton,15.02,B.Roethlisberger,28.96,M.Stafford,14.0,D.Prescott,14.879999999999999,M.Ryan,6.84,J.Brissett,14.120000000000001,J.Flacco,17.28,M.Ryan,18.08
1,528,A.Vinatieri,0.0,J.Hill,1.9,R.Mostert,-0.8999999999999999,A.Rodgers,23.06,J.Rodgers,1.5,J.Stewart,-0.4,J.Richard,7.6,J.Flacco,8.94,E.McGuire,3.9,A.Ellington,9.0,L.Jones,-0.3,T.Riddick,3.0,R.Smith,8.7,D.Freeman,15.1,M.Mack,1.4,M.Campanaro,9.0,D.Freeman,16.8
2,0,T.Brady,10.68,A.Erickson,6.4,C.Hyde,21.4,T.Montgomery,2.8,C.Sims III,3.4,F.Whittaker,-0.3,M.Lynch,0.9,A.Collins,14.3,M.Forte,21.599999999999998,A.Peterson,2.2,J.Conner,1.2,G.Tate,2.0,A.Morris,18.7,T.Coleman,3.2,F.Gore,6.800000000000001,D.Woodhead,4.1,T.Coleman,3.6999999999999997
3,327,S.Lechler,0.0,J.Ross,-0.8,M.Breida,2.9,A.Jones,10.9,D.Martin,14.200000000000001,C.McCaffrey,12.4,D.Washington,10.0,J.Allen,5.7,B.Powell,7.4,J.Nelson,1.7,L.Bell,10.3,A.Abdullah,4.3,C.Beasley,1.4,T.Gabriel,1.9,C.Rogers,0.7,A.Collins,6.6,M.Sanu,7.1
4,733,D.Brees,15.64,J.Mixon,4.1,A.Robinson,2.3,A.Ripkowski,1.0,A.Humphries,5.1,C.Samuel,0.8,A.Cooper,33.0,P.Ricard,0.1,A.Seferian-Jenkins,2.0,Ja.Brown,1.3,M.Bryant,3.0,Z.Zenner,0.6,D.Bryant,12.1,Ju.Jones,9.8,T.Hilton,4.1,J.Allen,4.7,J.Hardy,3.2
5,142,M.Bryant,0.0,G.Bernard,2.6,K.Juszczyk,3.4,J.Williams,1.3,M.Evans,4.9,K.Benjamin,9.9,S.Roberts,1.5,N.Boyle,2.9,J.Kearse,3.8,J.Brown,2.7,J.James,8.1,E.Ebron,3.4,T.Williams,2.1,L.Toilolo,0.7,J.Doyle,4.7,N.Boyle,0.9,A.Hooper,3.5
6,649,J.Peppers,0.0,B.LaFell,3.0,T.Taylor,9.2,M.Bennett,3.9,C.Godwin,0.8,E.Dickson,3.6,M.Crabtree,8.4,J.Maclin,11.3,E.Tomlinson,0.6,J.Gresham,12.4,J.Smith-Schuster,4.7,K.Golladay,6.1,N.Brown,-0.2,M.Sanu,14.3,R.Travis,3.3,B.Watson,4.0,Ju.Jones,8.0
7,78,J.McCown,9.48,A.Green,6.7,G.Celek,6.1,D.Adams,7.3,D.Jackson,10.6,R.Shepard,1.2,C.Patterson,0.9,B.Watson,6.6,R.Anderson,10.8,L.Fitzgerald,11.3,A.Brown,32.4,M.Jones,22.9,J.Witten,6.8,A.Hooper,2.3,A.Vinatieri,0.0,C.Moore,2.9,M.Bryant,0.0
8,292,C.Palmer,8.959999999999997,T.Eifert,4.2,P.Garcon,14.2,L.Kendricks,0.0,C.Brate,12.8,D.Funchess,3.6,J.Cook,10.7,C.Moore,0.0,Ja.Adams,0.0,P.Dawson,0.0,C.Boswell,0.0,M.Prater,0.0,L.Ladouceur,0.0,W.Schweitzer,0.0,R.Sanchez,0.0,M.Wallace,6.0,M.Bosher,0.0
9,794,A.Gates,1.7,R.Bullock,0.0,M.Goodwin,6.2,J.Nelson,19.5,W.Clarke,0.0,K.Short,0.0,G.Tavecchio,0.0,J.Tucker,0.0,D.Davis,0.0,A.Lee,0.0,J.Berry,0.0,S.Martin,0.0,M.Collins,0.0,M.Bryant,0.0,C.Geathers,0.0,M.Williams,6.6,A.Roberts,0.0
